PassengerId,Status,Pclass,Sex,Age,Count,PclassSex,Survived
205,Survived,Pclass 3,male,18,1,Pclass 3 male,1
206,Dead,Pclass 3,female,2,1,Pclass 3 female,0
207,Dead,Pclass 3,male,32,1,Pclass 3 male,0
208,Survived,Pclass 3,male,26,1,Pclass 3 male,1
209,Survived,Pclass 3,female,16,1,Pclass 3 female,1
210,Survived,Pclass 1,male,40,1,Pclass 1 male,1
211,Dead,Pclass 3,male,24,1,Pclass 3 male,0
212,Survived,Pclass 2,female,35,1,Pclass 2 female,1
213,Dead,Pclass 3,male,22,1,Pclass 3 male,0
214,Dead,Pclass 2,male,30,1,Pclass 2 male,0
216,Survived,Pclass 1,female,31,1,Pclass 1 female,1
217,Survived,Pclass 3,female,27,1,Pclass 3 female,1
218,Dead,Pclass 2,male,42,1,Pclass 2 male,0
219,Survived,Pclass 1,female,32,1,Pclass 1 female,1
220,Dead,Pclass 2,male,30,1,Pclass 2 male,0
221,Survived,Pclass 3,male,16,1,Pclass 3 male,1
222,Dead,Pclass 2,male,27,1,Pclass 2 male,0
223,Dead,Pclass 3,male,51,1,Pclass 3 male,0
225,Survived,Pclass 1,male,38,1,Pclass 1 male,1
226,Dead,Pclass 3,male,22,1,Pclass 3 male,0
227,Survived,Pclass 2,male,19,1,Pclass 2 male,1
228,Dead,Pclass 3,male,20.5,1,Pclass 3 male,0
229,Dead,Pclass 2,male,18,1,Pclass 2 male,0
231,Survived,Pclass 1,female,35,1,Pclass 1 female,1
232,Dead,Pclass 3,male,29,1,Pclass 3 male,0
233,Dead,Pclass 2,male,59,1,Pclass 2 male,0
234,Survived,Pclass 3,female,5,1,Pclass 3 female,1
235,Dead,Pclass 2,male,24,1,Pclass 2 male,0
237,Dead,Pclass 2,male,44,1,Pclass 2 male,0
238,Survived,Pclass 2,female,8,1,Pclass 2 female,1
239,Dead,Pclass 2,male,19,1,Pclass 2 male,0
240,Dead,Pclass 2,male,33,1,Pclass 2 male,0
243,Dead,Pclass 2,male,29,1,Pclass 2 male,0
244,Dead,Pclass 3,male,22,1,Pclass 3 male,0
245,Dead,Pclass 3,male,30,1,Pclass 3 male,0
246,Dead,Pclass 1,male,44,1,Pclass 1 male,0
247,Dead,Pclass 3,female,25,1,Pclass 3 female,0
248,Survived,Pclass 2,female,24,1,Pclass 2 female,1
249,Survived,Pclass 1,male,37,1,Pclass 1 male,1
250,Dead,Pclass 2,male,54,1,Pclass 2 male,0
252,Dead,Pclass 3,female,29,1,Pclass 3 female,0
253,Dead,Pclass 1,male,62,1,Pclass 1 male,0
254,Dead,Pclass 3,male,30,1,Pclass 3 male,0
255,Dead,Pclass 3,female,41,1,Pclass 3 female,0
256,Survived,Pclass 3,female,29,1,Pclass 3 female,1
258,Survived,Pclass 1,female,30,1,Pclass 1 female,1
259,Survived,Pclass 1,female,35,1,Pclass 1 female,1
260,Survived,Pclass 2,female,50,1,Pclass 2 female,1
262,Survived,Pclass 3,male,3,1,Pclass 3 male,1
263,Dead,Pclass 1,male,52,1,Pclass 1 male,0
264,Dead,Pclass 1,male,40,1,Pclass 1 male,0
266,Dead,Pclass 2,male,36,1,Pclass 2 male,0
267,Dead,Pclass 3,male,16,1,Pclass 3 male,0
268,Survived,Pclass 3,male,25,1,Pclass 3 male,1
269,Survived,Pclass 1,female,58,1,Pclass 1 female,1
270,Survived,Pclass 1,female,35,1,Pclass 1 female,1
272,Survived,Pclass 3,male,25,1,Pclass 3 male,1
273,Survived,Pclass 2,female,41,1,Pclass 2 female,1
274,Dead,Pclass 1,male,37,1,Pclass 1 male,0
276,Survived,Pclass 1,female,63,1,Pclass 1 female,1
277,Dead,Pclass 3,female,45,1,Pclass 3 female,0
279,Dead,Pclass 3,male,7,1,Pclass 3 male,0
280,Survived,Pclass 3,female,35,1,Pclass 3 female,1
281,Dead,Pclass 3,male,65,1,Pclass 3 male,0
282,Dead,Pclass 3,male,28,1,Pclass 3 male,0
283,Dead,Pclass 3,male,16,1,Pclass 3 male,0
284,Survived,Pclass 3,male,19,1,Pclass 3 male,1
286,Dead,Pclass 3,male,33,1,Pclass 3 male,0
287,Survived,Pclass 3,male,30,1,Pclass 3 male,1
288,Dead,Pclass 3,male,22,1,Pclass 3 male,0
289,Survived,Pclass 2,male,42,1,Pclass 2 male,1
290,Survived,Pclass 3,female,22,1,Pclass 3 female,1
291,Survived,Pclass 1,female,26,1,Pclass 1 female,1
292,Survived,Pclass 1,female,19,1,Pclass 1 female,1
293,Dead,Pclass 2,male,36,1,Pclass 2 male,0
294,Dead,Pclass 3,female,24,1,Pclass 3 female,0
295,Dead,Pclass 3,male,24,1,Pclass 3 male,0
297,Dead,Pclass 3,male,23.5,1,Pclass 3 male,0
298,Dead,Pclass 1,female,2,1,Pclass 1 female,0
300,Survived,Pclass 1,female,50,1,Pclass 1 female,1
303,Dead,Pclass 3,male,19,1,Pclass 3 male,0
306,Survived,Pclass 1,male,0.92,1,Pclass 1 male,1
308,Survived,Pclass 1,female,17,1,Pclass 1 female,1
309,Dead,Pclass 2,male,30,1,Pclass 2 male,0
310,Survived,Pclass 1,female,30,1,Pclass 1 female,1
311,Survived,Pclass 1,female,24,1,Pclass 1 female,1
312,Survived,Pclass 1,female,18,1,Pclass 1 female,1
313,Dead,Pclass 2,female,26,1,Pclass 2 female,0
314,Dead,Pclass 3,male,28,1,Pclass 3 male,0
315,Dead,Pclass 2,male,43,1,Pclass 2 male,0
316,Survived,Pclass 3,female,26,1,Pclass 3 female,1
317,Survived,Pclass 2,female,24,1,Pclass 2 female,1
318,Dead,Pclass 2,male,54,1,Pclass 2 male,0
319,Survived,Pclass 1,female,31,1,Pclass 1 female,1
320,Survived,Pclass 1,female,40,1,Pclass 1 female,1
321,Dead,Pclass 3,male,22,1,Pclass 3 male,0
322,Dead,Pclass 3,male,27,1,Pclass 3 male,0
323,Survived,Pclass 2,female,30,1,Pclass 2 female,1
324,Survived,Pclass 2,female,22,1,Pclass 2 female,1
326,Survived,Pclass 1,female,36,1,Pclass 1 female,1
327,Dead,Pclass 3,male,61,1,Pclass 3 male,0
328,Survived,Pclass 2,female,36,1,Pclass 2 female,1
329,Survived,Pclass 3,female,31,1,Pclass 3 female,1
330,Survived,Pclass 1,female,16,1,Pclass 1 female,1
332,Dead,Pclass 1,male,45.5,1,Pclass 1 male,0
333,Dead,Pclass 1,male,38,1,Pclass 1 male,0
334,Dead,Pclass 3,male,16,1,Pclass 3 male,0
337,Dead,Pclass 1,male,29,1,Pclass 1 male,0
338,Survived,Pclass 1,female,41,1,Pclass 1 female,1
339,Survived,Pclass 3,male,45,1,Pclass 3 male,1
340,Dead,Pclass 1,male,45,1,Pclass 1 male,0
341,Survived,Pclass 2,male,2,1,Pclass 2 male,1
342,Survived,Pclass 1,female,24,1,Pclass 1 female,1
343,Dead,Pclass 2,male,28,1,Pclass 2 male,0
344,Dead,Pclass 2,male,25,1,Pclass 2 male,0
345,Dead,Pclass 2,male,36,1,Pclass 2 male,0
346,Survived,Pclass 2,female,24,1,Pclass 2 female,1
347,Survived,Pclass 2,female,40,1,Pclass 2 female,1
349,Survived,Pclass 3,male,3,1,Pclass 3 male,1
350,Dead,Pclass 3,male,42,1,Pclass 3 male,0
351,Dead,Pclass 3,male,23,1,Pclass 3 male,0
353,Dead,Pclass 3,male,15,1,Pclass 3 male,0
354,Dead,Pclass 3,male,25,1,Pclass 3 male,0
356,Dead,Pclass 3,male,28,1,Pclass 3 male,0
357,Survived,Pclass 1,female,22,1,Pclass 1 female,1
358,Dead,Pclass 2,female,38,1,Pclass 2 female,0
361,Dead,Pclass 3,male,40,1,Pclass 3 male,0
362,Dead,Pclass 2,male,29,1,Pclass 2 male,0
363,Dead,Pclass 3,female,45,1,Pclass 3 female,0
364,Dead,Pclass 3,male,35,1,Pclass 3 male,0
366,Dead,Pclass 3,male,30,1,Pclass 3 male,0
367,Survived,Pclass 1,female,60,1,Pclass 1 female,1
370,Survived,Pclass 1,female,24,1,Pclass 1 female,1
371,Survived,Pclass 1,male,25,1,Pclass 1 male,1
372,Dead,Pclass 3,male,18,1,Pclass 3 male,0
373,Dead,Pclass 3,male,19,1,Pclass 3 male,0
374,Dead,Pclass 1,male,22,1,Pclass 1 male,0
375,Dead,Pclass 3,female,3,1,Pclass 3 female,0
377,Survived,Pclass 3,female,22,1,Pclass 3 female,1
378,Dead,Pclass 1,male,27,1,Pclass 1 male,0
379,Dead,Pclass 3,male,20,1,Pclass 3 male,0
380,Dead,Pclass 3,male,19,1,Pclass 3 male,0
381,Survived,Pclass 1,female,42,1,Pclass 1 female,1
382,Survived,Pclass 3,female,1,1,Pclass 3 female,1
383,Dead,Pclass 3,male,32,1,Pclass 3 male,0
384,Survived,Pclass 1,female,35,1,Pclass 1 female,1
386,Dead,Pclass 2,male,18,1,Pclass 2 male,0
387,Dead,Pclass 3,male,1,1,Pclass 3 male,0
388,Survived,Pclass 2,female,36,1,Pclass 2 female,1
390,Survived,Pclass 2,female,17,1,Pclass 2 female,1
391,Survived,Pclass 1,male,36,1,Pclass 1 male,1
392,Survived,Pclass 3,male,21,1,Pclass 3 male,1
393,Dead,Pclass 3,male,28,1,Pclass 3 male,0
394,Survived,Pclass 1,female,23,1,Pclass 1 female,1
395,Survived,Pclass 3,female,24,1,Pclass 3 female,1
396,Dead,Pclass 3,male,22,1,Pclass 3 male,0
397,Dead,Pclass 3,female,31,1,Pclass 3 female,0
398,Dead,Pclass 2,male,46,1,Pclass 2 male,0
399,Dead,Pclass 2,male,23,1,Pclass 2 male,0
400,Survived,Pclass 2,female,28,1,Pclass 2 female,1
401,Survived,Pclass 3,male,39,1,Pclass 3 male,1
402,Dead,Pclass 3,male,26,1,Pclass 3 male,0
403,Dead,Pclass 3,female,21,1,Pclass 3 female,0
404,Dead,Pclass 3,male,28,1,Pclass 3 male,0
405,Dead,Pclass 3,female,20,1,Pclass 3 female,0
406,Dead,Pclass 2,male,34,1,Pclass 2 male,0
407,Dead,Pclass 3,male,51,1,Pclass 3 male,0
408,Survived,Pclass 2,male,3,1,Pclass 2 male,1
409,Dead,Pclass 3,male,21,1,Pclass 3 male,0
413,Survived,Pclass 1,female,33,1,Pclass 1 female,1
415,Survived,Pclass 3,male,44,1,Pclass 3 male,1
417,Survived,Pclass 2,female,34,1,Pclass 2 female,1
418,Survived,Pclass 2,female,18,1,Pclass 2 female,1
419,Dead,Pclass 2,male,30,1,Pclass 2 male,0
420,Dead,Pclass 3,female,10,1,Pclass 3 female,0
422,Dead,Pclass 3,male,21,1,Pclass 3 male,0
423,Dead,Pclass 3,male,29,1,Pclass 3 male,0
424,Dead,Pclass 3,female,28,1,Pclass 3 female,0
425,Dead,Pclass 3,male,18,1,Pclass 3 male,0
427,Survived,Pclass 2,female,28,1,Pclass 2 female,1
428,Survived,Pclass 2,female,19,1,Pclass 2 female,1
430,Survived,Pclass 3,male,32,1,Pclass 3 male,1
431,Survived,Pclass 1,male,28,1,Pclass 1 male,1
433,Survived,Pclass 2,female,42,1,Pclass 2 female,1
434,Dead,Pclass 3,male,17,1,Pclass 3 male,0
435,Dead,Pclass 1,male,50,1,Pclass 1 male,0
436,Survived,Pclass 1,female,14,1,Pclass 1 female,1
437,Dead,Pclass 3,female,21,1,Pclass 3 female,0
438,Survived,Pclass 2,female,24,1,Pclass 2 female,1
439,Dead,Pclass 1,male,64,1,Pclass 1 male,0
440,Dead,Pclass 2,male,31,1,Pclass 2 male,0
441,Survived,Pclass 2,female,45,1,Pclass 2 female,1
442,Dead,Pclass 3,male,20,1,Pclass 3 male,0
443,Dead,Pclass 3,male,25,1,Pclass 3 male,0
444,Survived,Pclass 2,female,28,1,Pclass 2 female,1
446,Survived,Pclass 1,male,4,1,Pclass 1 male,1
447,Survived,Pclass 2,female,13,1,Pclass 2 female,1
448,Survived,Pclass 1,male,34,1,Pclass 1 male,1
449,Survived,Pclass 3,female,5,1,Pclass 3 female,1
450,Survived,Pclass 1,male,52,1,Pclass 1 male,1
451,Dead,Pclass 2,male,36,1,Pclass 2 male,0
453,Dead,Pclass 1,male,30,1,Pclass 1 male,0
454,Survived,Pclass 1,male,49,1,Pclass 1 male,1
456,Survived,Pclass 3,male,29,1,Pclass 3 male,1
457,Dead,Pclass 1,male,65,1,Pclass 1 male,0
459,Survived,Pclass 2,female,50,1,Pclass 2 female,1
461,Survived,Pclass 1,male,48,1,Pclass 1 male,1
462,Dead,Pclass 3,male,34,1,Pclass 3 male,0
463,Dead,Pclass 1,male,47,1,Pclass 1 male,0
464,Dead,Pclass 2,male,48,1,Pclass 2 male,0
466,Dead,Pclass 3,male,38,1,Pclass 3 male,0
468,Dead,Pclass 1,male,56,1,Pclass 1 male,0
470,Survived,Pclass 3,female,0.75,1,Pclass 3 female,1
472,Dead,Pclass 3,male,38,1,Pclass 3 male,0
473,Survived,Pclass 2,female,33,1,Pclass 2 female,1
474,Survived,Pclass 2,female,23,1,Pclass 2 female,1
475,Dead,Pclass 3,female,22,1,Pclass 3 female,0
477,Dead,Pclass 2,male,34,1,Pclass 2 male,0
478,Dead,Pclass 3,male,29,1,Pclass 3 male,0
479,Dead,Pclass 3,male,22,1,Pclass 3 male,0
480,Survived,Pclass 3,female,2,1,Pclass 3 female,1
481,Dead,Pclass 3,male,9,1,Pclass 3 male,0
483,Dead,Pclass 3,male,50,1,Pclass 3 male,0
484,Survived,Pclass 3,female,63,1,Pclass 3 female,1
485,Survived,Pclass 1,male,25,1,Pclass 1 male,1
487,Survived,Pclass 1,female,35,1,Pclass 1 female,1
488,Dead,Pclass 1,male,58,1,Pclass 1 male,0
489,Dead,Pclass 3,male,30,1,Pclass 3 male,0
490,Survived,Pclass 3,male,9,1,Pclass 3 male,1
492,Dead,Pclass 3,male,21,1,Pclass 3 male,0
493,Dead,Pclass 1,male,55,1,Pclass 1 male,0
494,Dead,Pclass 1,male,71,1,Pclass 1 male,0
495,Dead,Pclass 3,male,21,1,Pclass 3 male,0
497,Survived,Pclass 1,female,54,1,Pclass 1 female,1
499,Dead,Pclass 1,female,25,1,Pclass 1 female,0
500,Dead,Pclass 3,male,24,1,Pclass 3 male,0
501,Dead,Pclass 3,male,17,1,Pclass 3 male,0
502,Dead,Pclass 3,female,21,1,Pclass 3 female,0
504,Dead,Pclass 3,female,37,1,Pclass 3 female,0
505,Survived,Pclass 1,female,16,1,Pclass 1 female,1
506,Dead,Pclass 1,male,18,1,Pclass 1 male,0
507,Survived,Pclass 2,female,33,1,Pclass 2 female,1
509,Dead,Pclass 3,male,28,1,Pclass 3 male,0
510,Survived,Pclass 3,male,26,1,Pclass 3 male,1
511,Survived,Pclass 3,male,29,1,Pclass 3 male,1
513,Survived,Pclass 1,male,36,1,Pclass 1 male,1
514,Survived,Pclass 1,female,54,1,Pclass 1 female,1
515,Dead,Pclass 3,male,24,1,Pclass 3 male,0
516,Dead,Pclass 1,male,47,1,Pclass 1 male,0
517,Survived,Pclass 2,female,34,1,Pclass 2 female,1
519,Survived,Pclass 2,female,36,1,Pclass 2 female,1
520,Dead,Pclass 3,male,32,1,Pclass 3 male,0
521,Survived,Pclass 1,female,30,1,Pclass 1 female,1
522,Dead,Pclass 3,male,22,1,Pclass 3 male,0
524,Survived,Pclass 1,female,44,1,Pclass 1 female,1
526,Dead,Pclass 3,male,40.5,1,Pclass 3 male,0
527,Survived,Pclass 2,female,50,1,Pclass 2 female,1
529,Dead,Pclass 3,male,39,1,Pclass 3 male,0
530,Dead,Pclass 2,male,23,1,Pclass 2 male,0
531,Survived,Pclass 2,female,2,1,Pclass 2 female,1
533,Dead,Pclass 3,male,17,1,Pclass 3 male,0
535,Dead,Pclass 3,female,30,1,Pclass 3 female,0
536,Survived,Pclass 2,female,7,1,Pclass 2 female,1
537,Dead,Pclass 1,male,45,1,Pclass 1 male,0
538,Survived,Pclass 1,female,30,1,Pclass 1 female,1
540,Survived,Pclass 1,female,22,1,Pclass 1 female,1
541,Survived,Pclass 1,female,36,1,Pclass 1 female,1
542,Dead,Pclass 3,female,9,1,Pclass 3 female,0
543,Dead,Pclass 3,female,11,1,Pclass 3 female,0
544,Survived,Pclass 2,male,32,1,Pclass 2 male,1
545,Dead,Pclass 1,male,50,1,Pclass 1 male,0
546,Dead,Pclass 1,male,64,1,Pclass 1 male,0
547,Survived,Pclass 2,female,19,1,Pclass 2 female,1
549,Dead,Pclass 3,male,33,1,Pclass 3 male,0
550,Survived,Pclass 2,male,8,1,Pclass 2 male,1
551,Survived,Pclass 1,male,17,1,Pclass 1 male,1
552,Dead,Pclass 2,male,27,1,Pclass 2 male,0
554,Survived,Pclass 3,male,22,1,Pclass 3 male,1
555,Survived,Pclass 3,female,22,1,Pclass 3 female,1
556,Dead,Pclass 1,male,62,1,Pclass 1 male,0
557,Survived,Pclass 1,female,48,1,Pclass 1 female,1
559,Survived,Pclass 1,female,39,1,Pclass 1 female,1
560,Survived,Pclass 3,female,36,1,Pclass 3 female,1
562,Dead,Pclass 3,male,40,1,Pclass 3 male,0
563,Dead,Pclass 2,male,28,1,Pclass 2 male,0
566,Dead,Pclass 3,male,24,1,Pclass 3 male,0
567,Dead,Pclass 3,male,19,1,Pclass 3 male,0
568,Dead,Pclass 3,female,29,1,Pclass 3 female,0
570,Survived,Pclass 3,male,32,1,Pclass 3 male,1
571,Survived,Pclass 2,male,62,1,Pclass 2 male,1
572,Survived,Pclass 1,female,53,1,Pclass 1 female,1
573,Survived,Pclass 1,male,36,1,Pclass 1 male,1
575,Dead,Pclass 3,male,16,1,Pclass 3 male,0
576,Dead,Pclass 3,male,19,1,Pclass 3 male,0
577,Survived,Pclass 2,female,34,1,Pclass 2 female,1
578,Survived,Pclass 1,female,39,1,Pclass 1 female,1
580,Survived,Pclass 3,male,32,1,Pclass 3 male,1
581,Survived,Pclass 2,female,25,1,Pclass 2 female,1
582,Survived,Pclass 1,female,39,1,Pclass 1 female,1
583,Dead,Pclass 2,male,54,1,Pclass 2 male,0
584,Dead,Pclass 1,male,36,1,Pclass 1 male,0
