PassengerId,Survived,Pclass,Sex,Age,Count
327,Dead,Pclass 3,male,61,1
328,Survived,Pclass 2,female,36,1
329,Survived,Pclass 3,female,31,1
330,Survived,Pclass 1,female,16,1
332,Dead,Pclass 1,male,45.5,1
333,Dead,Pclass 1,male,38,1
334,Dead,Pclass 3,male,16,1
337,Dead,Pclass 1,male,29,1
338,Survived,Pclass 1,female,41,1
339,Survived,Pclass 3,male,45,1
340,Dead,Pclass 1,male,45,1
341,Survived,Pclass 2,male,2,1
342,Survived,Pclass 1,female,24,1
343,Dead,Pclass 2,male,28,1
344,Dead,Pclass 2,male,25,1
345,Dead,Pclass 2,male,36,1
346,Survived,Pclass 2,female,24,1
347,Survived,Pclass 2,female,40,1
349,Survived,Pclass 3,male,3,1
350,Dead,Pclass 3,male,42,1
351,Dead,Pclass 3,male,23,1
353,Dead,Pclass 3,male,15,1
354,Dead,Pclass 3,male,25,1
356,Dead,Pclass 3,male,28,1
357,Survived,Pclass 1,female,22,1
358,Dead,Pclass 2,female,38,1
361,Dead,Pclass 3,male,40,1
362,Dead,Pclass 2,male,29,1
363,Dead,Pclass 3,female,45,1
364,Dead,Pclass 3,male,35,1
366,Dead,Pclass 3,male,30,1
367,Survived,Pclass 1,female,60,1
370,Survived,Pclass 1,female,24,1
371,Survived,Pclass 1,male,25,1
372,Dead,Pclass 3,male,18,1
373,Dead,Pclass 3,male,19,1
374,Dead,Pclass 1,male,22,1
375,Dead,Pclass 3,female,3,1
377,Survived,Pclass 3,female,22,1
378,Dead,Pclass 1,male,27,1
379,Dead,Pclass 3,male,20,1
380,Dead,Pclass 3,male,19,1
381,Survived,Pclass 1,female,42,1
382,Survived,Pclass 3,female,1,1
383,Dead,Pclass 3,male,32,1
384,Survived,Pclass 1,female,35,1
386,Dead,Pclass 2,male,18,1
387,Dead,Pclass 3,male,1,1
388,Survived,Pclass 2,female,36,1
390,Survived,Pclass 2,female,17,1
391,Survived,Pclass 1,male,36,1
392,Survived,Pclass 3,male,21,1
393,Dead,Pclass 3,male,28,1
394,Survived,Pclass 1,female,23,1
395,Survived,Pclass 3,female,24,1
396,Dead,Pclass 3,male,22,1
397,Dead,Pclass 3,female,31,1
398,Dead,Pclass 2,male,46,1
399,Dead,Pclass 2,male,23,1
400,Survived,Pclass 2,female,28,1
401,Survived,Pclass 3,male,39,1
402,Dead,Pclass 3,male,26,1
403,Dead,Pclass 3,female,21,1
404,Dead,Pclass 3,male,28,1
405,Dead,Pclass 3,female,20,1
406,Dead,Pclass 2,male,34,1
407,Dead,Pclass 3,male,51,1
408,Survived,Pclass 2,male,3,1
409,Dead,Pclass 3,male,21,1
413,Survived,Pclass 1,female,33,1
415,Survived,Pclass 3,male,44,1
417,Survived,Pclass 2,female,34,1
418,Survived,Pclass 2,female,18,1
419,Dead,Pclass 2,male,30,1
420,Dead,Pclass 3,female,10,1
422,Dead,Pclass 3,male,21,1
423,Dead,Pclass 3,male,29,1
424,Dead,Pclass 3,female,28,1
425,Dead,Pclass 3,male,18,1
427,Survived,Pclass 2,female,28,1
428,Survived,Pclass 2,female,19,1
430,Survived,Pclass 3,male,32,1
431,Survived,Pclass 1,male,28,1
433,Survived,Pclass 2,female,42,1
434,Dead,Pclass 3,male,17,1
435,Dead,Pclass 1,male,50,1
436,Survived,Pclass 1,female,14,1
437,Dead,Pclass 3,female,21,1
438,Survived,Pclass 2,female,24,1
439,Dead,Pclass 1,male,64,1
440,Dead,Pclass 2,male,31,1
441,Survived,Pclass 2,female,45,1
442,Dead,Pclass 3,male,20,1
443,Dead,Pclass 3,male,25,1
444,Survived,Pclass 2,female,28,1
446,Survived,Pclass 1,male,4,1
447,Survived,Pclass 2,female,13,1
448,Survived,Pclass 1,male,34,1
449,Survived,Pclass 3,female,5,1
450,Survived,Pclass 1,male,52,1
451,Dead,Pclass 2,male,36,1
453,Dead,Pclass 1,male,30,1
454,Survived,Pclass 1,male,49,1
456,Survived,Pclass 3,male,29,1
457,Dead,Pclass 1,male,65,1
459,Survived,Pclass 2,female,50,1
461,Survived,Pclass 1,male,48,1
462,Dead,Pclass 3,male,34,1
463,Dead,Pclass 1,male,47,1
464,Dead,Pclass 2,male,48,1
466,Dead,Pclass 3,male,38,1
468,Dead,Pclass 1,male,56,1
470,Survived,Pclass 3,female,0.75,1
472,Dead,Pclass 3,male,38,1
473,Survived,Pclass 2,female,33,1
474,Survived,Pclass 2,female,23,1
475,Dead,Pclass 3,female,22,1
477,Dead,Pclass 2,male,34,1
478,Dead,Pclass 3,male,29,1
479,Dead,Pclass 3,male,22,1
480,Survived,Pclass 3,female,2,1
481,Dead,Pclass 3,male,9,1
483,Dead,Pclass 3,male,50,1
484,Survived,Pclass 3,female,63,1
485,Survived,Pclass 1,male,25,1
487,Survived,Pclass 1,female,35,1
488,Dead,Pclass 1,male,58,1
489,Dead,Pclass 3,male,30,1
490,Survived,Pclass 3,male,9,1
492,Dead,Pclass 3,male,21,1
493,Dead,Pclass 1,male,55,1
494,Dead,Pclass 1,male,71,1
495,Dead,Pclass 3,male,21,1
497,Survived,Pclass 1,female,54,1
499,Dead,Pclass 1,female,25,1
500,Dead,Pclass 3,male,24,1
501,Dead,Pclass 3,male,17,1
502,Dead,Pclass 3,female,21,1
504,Dead,Pclass 3,female,37,1
505,Survived,Pclass 1,female,16,1
506,Dead,Pclass 1,male,18,1
507,Survived,Pclass 2,female,33,1
509,Dead,Pclass 3,male,28,1
510,Survived,Pclass 3,male,26,1
511,Survived,Pclass 3,male,29,1
513,Survived,Pclass 1,male,36,1
514,Survived,Pclass 1,female,54,1
515,Dead,Pclass 3,male,24,1
516,Dead,Pclass 1,male,47,1
517,Survived,Pclass 2,female,34,1
519,Survived,Pclass 2,female,36,1
520,Dead,Pclass 3,male,32,1
521,Survived,Pclass 1,female,30,1
522,Dead,Pclass 3,male,22,1
524,Survived,Pclass 1,female,44,1
526,Dead,Pclass 3,male,40.5,1
527,Survived,Pclass 2,female,50,1
529,Dead,Pclass 3,male,39,1
530,Dead,Pclass 2,male,23,1
531,Survived,Pclass 2,female,2,1
533,Dead,Pclass 3,male,17,1
535,Dead,Pclass 3,female,30,1
536,Survived,Pclass 2,female,7,1
537,Dead,Pclass 1,male,45,1
538,Survived,Pclass 1,female,30,1
540,Survived,Pclass 1,female,22,1
541,Survived,Pclass 1,female,36,1
542,Dead,Pclass 3,female,9,1
543,Dead,Pclass 3,female,11,1
544,Survived,Pclass 2,male,32,1
545,Dead,Pclass 1,male,50,1
546,Dead,Pclass 1,male,64,1
547,Survived,Pclass 2,female,19,1
549,Dead,Pclass 3,male,33,1
550,Survived,Pclass 2,male,8,1
551,Survived,Pclass 1,male,17,1
552,Dead,Pclass 2,male,27,1
554,Survived,Pclass 3,male,22,1
555,Survived,Pclass 3,female,22,1
556,Dead,Pclass 1,male,62,1
557,Survived,Pclass 1,female,48,1
559,Survived,Pclass 1,female,39,1
560,Survived,Pclass 3,female,36,1
562,Dead,Pclass 3,male,40,1
563,Dead,Pclass 2,male,28,1
566,Dead,Pclass 3,male,24,1
567,Dead,Pclass 3,male,19,1
568,Dead,Pclass 3,female,29,1
570,Survived,Pclass 3,male,32,1
571,Survived,Pclass 2,male,62,1
572,Survived,Pclass 1,female,53,1
573,Survived,Pclass 1,male,36,1
575,Dead,Pclass 3,male,16,1
576,Dead,Pclass 3,male,19,1
577,Survived,Pclass 2,female,34,1
578,Survived,Pclass 1,female,39,1
580,Survived,Pclass 3,male,32,1
581,Survived,Pclass 2,female,25,1
582,Survived,Pclass 1,female,39,1
583,Dead,Pclass 2,male,54,1
584,Dead,Pclass 1,male,36,1
586,Survived,Pclass 1,female,18,1
587,Dead,Pclass 2,male,47,1
588,Survived,Pclass 1,male,60,1
589,Dead,Pclass 3,male,22,1
591,Dead,Pclass 3,male,35,1
592,Survived,Pclass 1,female,52,1
593,Dead,Pclass 3,male,47,1
595,Dead,Pclass 2,male,37,1
596,Dead,Pclass 3,male,36,1
598,Dead,Pclass 3,male,49,1
600,Survived,Pclass 1,male,49,1
601,Survived,Pclass 2,female,24,1
604,Dead,Pclass 3,male,44,1
605,Survived,Pclass 1,male,35,1
606,Dead,Pclass 3,male,36,1
607,Dead,Pclass 3,male,30,1
608,Survived,Pclass 1,male,27,1
609,Survived,Pclass 2,female,22,1
610,Survived,Pclass 1,female,40,1
611,Dead,Pclass 3,female,39,1
615,Dead,Pclass 3,male,35,1
616,Survived,Pclass 2,female,24,1
617,Dead,Pclass 3,male,34,1
618,Dead,Pclass 3,female,26,1
619,Survived,Pclass 2,female,4,1
620,Dead,Pclass 2,male,26,1
621,Dead,Pclass 3,male,27,1
622,Survived,Pclass 1,male,42,1
623,Survived,Pclass 3,male,20,1
624,Dead,Pclass 3,male,21,1
625,Dead,Pclass 3,male,21,1
626,Dead,Pclass 1,male,61,1
627,Dead,Pclass 2,male,57,1
628,Survived,Pclass 1,female,21,1
629,Dead,Pclass 3,male,26,1
631,Survived,Pclass 1,male,80,1
632,Dead,Pclass 3,male,51,1
633,Survived,Pclass 1,male,32,1
635,Dead,Pclass 3,female,9,1
636,Survived,Pclass 2,female,28,1
637,Dead,Pclass 3,male,32,1
638,Dead,Pclass 2,male,31,1
639,Dead,Pclass 3,female,41,1
641,Dead,Pclass 3,male,20,1
642,Survived,Pclass 1,female,24,1
643,Dead,Pclass 3,female,2,1
645,Survived,Pclass 3,female,0.75,1
646,Survived,Pclass 1,male,48,1
647,Dead,Pclass 3,male,19,1
648,Survived,Pclass 1,male,56,1
650,Survived,Pclass 3,female,23,1
652,Survived,Pclass 2,female,18,1
653,Dead,Pclass 3,male,21,1
655,Dead,Pclass 3,female,18,1
656,Dead,Pclass 2,male,24,1
658,Dead,Pclass 3,female,32,1
659,Dead,Pclass 2,male,23,1
660,Dead,Pclass 1,male,58,1
661,Survived,Pclass 1,male,50,1
662,Dead,Pclass 3,male,40,1
663,Dead,Pclass 1,male,47,1
664,Dead,Pclass 3,male,36,1
665,Survived,Pclass 3,male,20,1
666,Dead,Pclass 2,male,32,1
667,Dead,Pclass 2,male,25,1
669,Dead,Pclass 3,male,43,1
671,Survived,Pclass 2,female,40,1
672,Dead,Pclass 1,male,31,1
673,Dead,Pclass 2,male,70,1
674,Survived,Pclass 2,male,31,1
676,Dead,Pclass 3,male,18,1
677,Dead,Pclass 3,male,24.5,1
678,Survived,Pclass 3,female,18,1
679,Dead,Pclass 3,female,43,1
680,Survived,Pclass 1,male,36,1
682,Survived,Pclass 1,male,27,1
683,Dead,Pclass 3,male,20,1
684,Dead,Pclass 3,male,14,1
685,Dead,Pclass 2,male,60,1
686,Dead,Pclass 2,male,25,1
687,Dead,Pclass 3,male,14,1
688,Dead,Pclass 3,male,19,1
689,Dead,Pclass 3,male,18,1
690,Survived,Pclass 1,female,15,1
691,Survived,Pclass 1,male,31,1
692,Survived,Pclass 3,female,4,1
694,Dead,Pclass 3,male,25,1
695,Dead,Pclass 1,male,60,1
696,Dead,Pclass 2,male,52,1
697,Dead,Pclass 3,male,44,1
699,Dead,Pclass 1,male,49,1
700,Dead,Pclass 3,male,42,1
701,Survived,Pclass 1,female,18,1
702,Survived,Pclass 1,male,35,1
703,Dead,Pclass 3,female,18,1
704,Dead,Pclass 3,male,25,1
705,Dead,Pclass 3,male,26,1
706,Dead,Pclass 2,male,39,1
707,Survived,Pclass 2,female,45,1
708,Survived,Pclass 1,male,42,1
709,Survived,Pclass 1,female,22,1
711,Survived,Pclass 1,female,24,1
713,Survived,Pclass 1,male,48,1
714,Dead,Pclass 3,male,29,1
715,Dead,Pclass 2,male,52,1
716,Dead,Pclass 3,male,19,1
717,Survived,Pclass 1,female,38,1
718,Survived,Pclass 2,female,27,1
720,Dead,Pclass 3,male,33,1
721,Survived,Pclass 2,female,6,1
722,Dead,Pclass 3,male,17,1
723,Dead,Pclass 2,male,34,1
724,Dead,Pclass 2,male,50,1
725,Survived,Pclass 1,male,27,1
726,Dead,Pclass 3,male,20,1
727,Survived,Pclass 2,female,30,1
729,Dead,Pclass 2,male,25,1
730,Dead,Pclass 3,female,25,1
731,Survived,Pclass 1,female,29,1
732,Dead,Pclass 3,male,11,1
734,Dead,Pclass 2,male,23,1
735,Dead,Pclass 2,male,23,1
736,Dead,Pclass 3,male,28.5,1
737,Dead,Pclass 3,female,48,1
738,Survived,Pclass 1,male,35,1
742,Dead,Pclass 1,male,36,1
743,Survived,Pclass 1,female,21,1
744,Dead,Pclass 3,male,24,1
745,Survived,Pclass 3,male,31,1
746,Dead,Pclass 1,male,70,1
747,Dead,Pclass 3,male,16,1
748,Survived,Pclass 2,female,30,1
749,Dead,Pclass 1,male,19,1
750,Dead,Pclass 3,male,31,1
751,Survived,Pclass 2,female,4,1
752,Survived,Pclass 3,male,6,1
753,Dead,Pclass 3,male,33,1
754,Dead,Pclass 3,male,23,1
755,Survived,Pclass 2,female,48,1
756,Survived,Pclass 2,male,0.67,1
757,Dead,Pclass 3,male,28,1
758,Dead,Pclass 2,male,18,1
759,Dead,Pclass 3,male,34,1
760,Survived,Pclass 1,female,33,1
762,Dead,Pclass 3,male,41,1
763,Survived,Pclass 3,male,20,1
764,Survived,Pclass 1,female,36,1
765,Dead,Pclass 3,male,16,1
766,Survived,Pclass 1,female,51,1
768,Dead,Pclass 3,female,30.5,1
770,Dead,Pclass 3,male,32,1
771,Dead,Pclass 3,male,24,1
772,Dead,Pclass 3,male,48,1
773,Dead,Pclass 2,female,57,1
775,Survived,Pclass 2,female,54,1
776,Dead,Pclass 3,male,18,1
778,Survived,Pclass 3,female,5,1
780,Survived,Pclass 1,female,43,1
781,Survived,Pclass 3,female,13,1
782,Survived,Pclass 1,female,17,1
783,Dead,Pclass 1,male,29,1
785,Dead,Pclass 3,male,25,1
786,Dead,Pclass 3,male,25,1
787,Survived,Pclass 3,female,18,1
788,Dead,Pclass 3,male,8,1
789,Survived,Pclass 3,male,1,1
790,Dead,Pclass 1,male,46,1
792,Dead,Pclass 2,male,16,1
795,Dead,Pclass 3,male,25,1
796,Dead,Pclass 2,male,39,1
797,Survived,Pclass 1,female,49,1
798,Survived,Pclass 3,female,31,1
799,Dead,Pclass 3,male,30,1
800,Dead,Pclass 3,female,30,1
801,Dead,Pclass 2,male,34,1
802,Survived,Pclass 2,female,31,1
803,Survived,Pclass 1,male,11,1
804,Survived,Pclass 3,male,0.42,1
805,Survived,Pclass 3,male,27,1
806,Dead,Pclass 3,male,31,1
807,Dead,Pclass 1,male,39,1
808,Dead,Pclass 3,female,18,1
809,Dead,Pclass 2,male,39,1
810,Survived,Pclass 1,female,33,1
811,Dead,Pclass 3,male,26,1
812,Dead,Pclass 3,male,39,1
813,Dead,Pclass 2,male,35,1
814,Dead,Pclass 3,female,6,1
815,Dead,Pclass 3,male,30.5,1
817,Dead,Pclass 3,female,23,1
818,Dead,Pclass 2,male,31,1
819,Dead,Pclass 3,male,43,1
820,Dead,Pclass 3,male,10,1
821,Survived,Pclass 1,female,52,1
822,Survived,Pclass 3,male,27,1
823,Dead,Pclass 1,male,38,1
824,Survived,Pclass 3,female,27,1
825,Dead,Pclass 3,male,2,1
828,Survived,Pclass 2,male,1,1
830,Survived,Pclass 1,female,62,1
831,Survived,Pclass 3,female,15,1
832,Survived,Pclass 2,male,0.83,1
834,Dead,Pclass 3,male,23,1
835,Dead,Pclass 3,male,18,1
836,Survived,Pclass 1,female,39,1
837,Dead,Pclass 3,male,21,1
839,Survived,Pclass 3,male,32,1
841,Dead,Pclass 3,male,20,1
842,Dead,Pclass 2,male,16,1
843,Survived,Pclass 1,female,30,1
844,Dead,Pclass 3,male,34.5,1
845,Dead,Pclass 3,male,17,1
846,Dead,Pclass 3,male,42,1
848,Dead,Pclass 3,male,35,1
849,Dead,Pclass 2,male,28,1
851,Dead,Pclass 3,male,4,1
852,Dead,Pclass 3,male,74,1
853,Dead,Pclass 3,female,9,1
854,Survived,Pclass 1,female,16,1
855,Dead,Pclass 2,female,44,1
856,Survived,Pclass 3,female,18,1
857,Survived,Pclass 1,female,45,1
858,Survived,Pclass 1,male,51,1
859,Survived,Pclass 3,female,24,1
861,Dead,Pclass 3,male,41,1
862,Dead,Pclass 2,male,21,1
863,Survived,Pclass 1,female,48,1
865,Dead,Pclass 2,male,24,1
866,Survived,Pclass 2,female,42,1
867,Survived,Pclass 2,female,27,1
868,Dead,Pclass 1,male,31,1
870,Survived,Pclass 3,male,4,1
871,Dead,Pclass 3,male,26,1
872,Survived,Pclass 1,female,47,1
873,Dead,Pclass 1,male,33,1
874,Dead,Pclass 3,male,47,1
875,Survived,Pclass 2,female,28,1
876,Survived,Pclass 3,female,15,1
877,Dead,Pclass 3,male,20,1
878,Dead,Pclass 3,male,19,1
880,Survived,Pclass 1,female,56,1
881,Survived,Pclass 2,female,25,1
882,Dead,Pclass 3,male,33,1
883,Dead,Pclass 3,female,22,1
884,Dead,Pclass 2,male,28,1
885,Dead,Pclass 3,male,25,1
886,Dead,Pclass 3,female,39,1
887,Dead,Pclass 2,male,27,1
888,Survived,Pclass 1,female,19,1
890,Survived,Pclass 1,male,26,1
891,Dead,Pclass 3,male,32,1
